profileID,respID,qID,altID,obsID,type,price,condition,delivery,image
81,1,1,1,1,Black Diamond Camalot,30,Lightly Used,Two Working Days,bd-cam.jpg
180,1,1,2,1,Totem Cam,70,Heavily Used,One Week,totem.jpg
152,1,1,3,1,Totem Cam,50,Lightly Used,One Week,totem.jpg
117,1,2,1,2,Black Diamond Camalot,70,Heavily Used,Two Working Days,bd-cam.jpg
99,1,2,2,2,Wild Country Friend,70,Lightly Used,Two Working Days,wc-friend.jpg
51,1,2,3,2,Wild Country Friend,50,Heavily Used,Next Day,wc-friend.jpg
59,1,3,1,3,Wild Country Friend,70,Heavily Used,Next Day,wc-friend.jpg
37,1,3,2,3,Black Diamond Camalot,70,Lightly Used,Next Day,bd-cam.jpg
91,1,3,3,3,Wild Country Friend,50,Lightly Used,Two Working Days,wc-friend.jpg
58,1,4,1,4,DMM Dragon,70,Heavily Used,Next Day,dragon.jpg
86,1,4,2,4,DMM Dragon,40,Lightly Used,Two Working Days,dragon.jpg
95,1,4,3,4,Wild Country Friend,60,Lightly Used,Two Working Days,wc-friend.jpg
167,1,5,1,5,Wild Country Friend,40,Heavily Used,One Week,wc-friend.jpg
107,1,5,2,5,Wild Country Friend,40,Heavily Used,Two Working Days,wc-friend.jpg
2,1,5,3,5,DMM Dragon,30,New,Next Day,dragon.jpg
134,1,6,1,6,DMM Dragon,60,New,One Week,dragon.jpg
111,1,6,2,6,Wild Country Friend,50,Heavily Used,Two Working Days,wc-friend.jpg
123,1,6,3,6,Wild Country Friend,30,New,One Week,wc-friend.jpg
166,1,7,1,7,DMM Dragon,40,Heavily Used,One Week,dragon.jpg
59,1,7,2,7,Wild Country Friend,70,Heavily Used,Next Day,wc-friend.jpg
78,1,7,3,7,DMM Dragon,70,New,Two Working Days,dragon.jpg
169,1,8,1,8,Black Diamond Camalot,50,Heavily Used,One Week,bd-cam.jpg
114,1,8,2,8,DMM Dragon,60,Heavily Used,Two Working Days,dragon.jpg
176,1,8,3,8,Totem Cam,60,Heavily Used,One Week,totem.jpg
154,1,9,1,9,DMM Dragon,60,Lightly Used,One Week,dragon.jpg
4,1,9,2,9,Totem Cam,30,New,Next Day,totem.jpg
57,1,9,3,9,Black Diamond Camalot,70,Heavily Used,Next Day,bd-cam.jpg
100,1,10,1,10,Totem Cam,70,Lightly Used,Two Working Days,totem.jpg
145,1,10,2,10,Black Diamond Camalot,40,Lightly Used,One Week,bd-cam.jpg
114,1,10,3,10,DMM Dragon,60,Heavily Used,Two Working Days,dragon.jpg
175,2,1,1,11,Wild Country Friend,60,Heavily Used,One Week,wc-friend.jpg
51,2,1,2,11,Wild Country Friend,50,Heavily Used,Next Day,wc-friend.jpg
69,2,1,3,11,Black Diamond Camalot,50,New,Two Working Days,bd-cam.jpg
128,2,2,1,12,Totem Cam,40,New,One Week,totem.jpg
19,2,2,2,12,Wild Country Friend,70,New,Next Day,wc-friend.jpg
43,2,2,3,12,Wild Country Friend,30,Heavily Used,Next Day,wc-friend.jpg
142,2,3,1,13,DMM Dragon,30,Lightly Used,One Week,dragon.jpg
81,2,3,2,13,Black Diamond Camalot,30,Lightly Used,Two Working Days,bd-cam.jpg
62,2,3,3,13,DMM Dragon,30,New,Two Working Days,dragon.jpg
169,2,4,1,14,Black Diamond Camalot,50,Heavily Used,One Week,bd-cam.jpg
120,2,4,2,14,Totem Cam,70,Heavily Used,Two Working Days,totem.jpg
15,2,4,3,14,Wild Country Friend,60,New,Next Day,wc-friend.jpg
77,2,5,1,15,Black Diamond Camalot,70,New,Two Working Days,bd-cam.jpg
97,2,5,2,15,Black Diamond Camalot,70,Lightly Used,Two Working Days,bd-cam.jpg
151,2,5,3,15,Wild Country Friend,50,Lightly Used,One Week,wc-friend.jpg
